epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1044.69,1.37534,1.69855,1.42723,0.42524,0.34767,0.31744,0.19412,1.38451,2.20565,1.48379,0.000763797,0.000763797,0.000763797
60,1061.73,1.32458,1.63574,1.37672,0.45251,0.37665,0.35082,0.22079,1.31163,2.0475,1.45212,0.000733799,0.000733799,0.000733799
61,1078.85,1.3423,1.66319,1.39193,0.38873,0.37545,0.31803,0.19799,1.31926,2.20329,1.47482,0.000704073,0.000704073,0.000704073
62,1095.87,1.32628,1.64452,1.39185,0.43768,0.36378,0.33124,0.20917,1.38886,2.01358,1.48863,0.000674649,0.000674649,0.000674649
63,1112.84,1.33565,1.63749,1.38868,0.36484,0.37712,0.30817,0.19405,1.33722,2.17873,1.46972,0.000645557,0.000645557,0.000645557
64,1129.86,1.33665,1.66127,1.38648,0.47132,0.36259,0.33637,0.21272,1.39823,2.07747,1.49587,0.000616824,0.000616824,0.000616824
65,1146.92,1.31833,1.65181,1.38608,0.47437,0.3455,0.33135,0.20744,1.34181,2.14244,1.46477,0.000588479,0.000588479,0.000588479
66,1168.04,1.336,1.60735,1.38072,0.43123,0.37875,0.33141,0.20525,1.36271,2.09932,1.46138,0.000560549,0.000560549,0.000560549
67,1189.81,1.31457,1.6208,1.38236,0.39945,0.36578,0.32316,0.19995,1.31463,2.15777,1.45467,0.000533064,0.000533064,0.000533064
68,1211.8,1.3145,1.5971,1.38293,0.40787,0.37714,0.32471,0.19983,1.3414,2.10229,1.45754,0.000506049,0.000506049,0.000506049
69,1234.15,1.31289,1.58656,1.37655,0.47821,0.3152,0.31471,0.19357,1.33958,2.07341,1.46589,0.000479531,0.000479531,0.000479531
70,1256.15,1.30537,1.56833,1.38324,0.43393,0.35415,0.32479,0.20484,1.31711,2.07021,1.4556,0.000453537,0.000453537,0.000453537
71,1278.77,1.29642,1.59478,1.37208,0.45778,0.35363,0.33566,0.21009,1.34169,1.97671,1.46017,0.000428093,0.000428093,0.000428093
72,1300.81,1.29276,1.52029,1.35754,0.41779,0.35684,0.31633,0.19685,1.31615,2.10651,1.442,0.000403222,0.000403222,0.000403222
73,1317.6,1.29936,1.55854,1.36677,0.44811,0.35679,0.32632,0.20088,1.32534,2.03327,1.45407,0.00037895,0.00037895,0.00037895
74,1333.41,1.29553,1.55431,1.36441,0.46388,0.33576,0.31956,0.19695,1.30476,2.06212,1.43833,0.000355301,0.000355301,0.000355301
75,1349.2,1.26078,1.53106,1.35858,0.41233,0.36831,0.3161,0.19694,1.31312,2.10653,1.43872,0.000332298,0.000332298,0.000332298
76,1364.98,1.27072,1.53739,1.36248,0.41886,0.39108,0.32825,0.2032,1.35049,1.98085,1.4704,0.000309964,0.000309964,0.000309964
77,1380.82,1.29568,1.52148,1.35552,0.41096,0.35267,0.31476,0.20062,1.3438,2.04467,1.47109,0.000288321,0.000288321,0.000288321
78,1396.61,1.28307,1.53153,1.35767,0.44468,0.3714,0.33584,0.21288,1.32211,2.03437,1.447,0.00026739,0.00026739,0.00026739
79,1412.46,1.29101,1.49157,1.3411,0.47473,0.34691,0.34693,0.21891,1.31324,2.051,1.43947,0.000247192,0.000247192,0.000247192
80,1428.26,1.25837,1.50456,1.34729,0.43959,0.37301,0.34758,0.22069,1.3136,1.97205,1.44383,0.000227747,0.000227747,0.000227747
